amount,bill_usage,service,tran_date,account
22.82,4,WATER,31-07-14,3-1094N
30.94,8,WATER,31-08-14,3-1094N
24.85,5,WATER,30-09-14,3-1094N
22.82,4,WATER,31-10-14,3-1094N
24.85,5,WATER,30-11-14,3-1094N
26.5,5,WATER,30-04-15,3-1094N
24.14,4,WATER,31-05-15,3-1094N
34.26,6,WATER,30-06-15,3-1094N
0.48,4,PWS,31-07-14,3-1094N
2.8,8,PWS,31-08-14,3-1094N
2.45,5,PWS,30-09-14,3-1094N
0.68,4,PWS,31-10-14,3-1094N
0.25,5,PWS,30-11-14,3-1094N
0.3,5,PWS,31-12-14,3-1094N
24.85,5,WATER,31-12-14,3-1094N
24.14,4,WATER,31-01-15,3-1094N
21.78,3,WATER,28-02-15,3-1094N
26.5,5,WATER,31-03-15,3-1094N
0,0,PWS,31-05-15,3-1094N
0,0,PWS,30-06-15,3-1094N
0,0,PWS,31-01-15,3-1094N
0,0,PWS,28-02-15,3-1094N
0,0,PWS,31-03-15,3-1094N
0,0,PWS,30-04-15,3-1094N
14.7,0,WATER,31-07-14,4-9738L
14.7,0,WATER,31-08-14,4-9738L
14.7,0,WATER,30-09-14,4-9738L
14.7,0,WATER,31-10-14,4-9738L
14.7,0,WATER,30-11-14,4-9738L
16.73,1,WATER,31-12-14,4-9738L
14.7,0,WATER,31-01-15,4-9738L
14.7,0,WATER,28-02-15,4-9738L
2.51,0,DWELLING C,31-07-14,4-9738L
2.51,0,DWELLING C,31-08-14,4-9738L
2.51,0,DWELLING C,30-09-14,4-9738L
2.51,0,DWELLING C,31-10-14,4-9738L
2.51,0,DWELLING C,30-11-14,4-9738L
2.51,0,DWELLING C,31-12-14,4-9738L
2.81,0,DWELLING C,31-01-15,4-9738L
2.81,0,DWELLING C,28-02-15,4-9738L
2.81,0,DWELLING C,31-03-15,4-9738L
14.7,0,WATER,31-03-15,4-9738L
14.7,0,WATER,30-04-15,4-9738L
14.7,0,WATER,31-05-15,4-9738L
17.96,1,WATER,30-06-15,4-9738L
0,0,PWS,31-08-14,4-9738L
0,0,PWS,30-09-14,4-9738L
0,0,PWS,31-10-14,4-9738L
0,0,PWS,30-11-14,4-9738L
0.06,1,PWS,31-12-14,4-9738L
0,0,PWS,31-01-15,4-9738L
0,0,PWS,28-02-15,4-9738L
0,0,PWS,31-03-15,4-9738L
0,0,PWS,30-04-15,4-9738L
2.81,0,DWELLING C,30-04-15,4-9738L
2.81,0,DWELLING C,31-05-15,4-9738L
2.81,0,DWELLING C,30-06-15,4-9738L
0,0,PWS,31-07-14,4-9738L
0,0,PWS,31-05-15,4-9738L
0,0,PWS,30-06-15,4-9738L
196.2,61,WATER,30-09-14,6-1854C
83.33,27,WATER,31-10-14,6-1854C
49.9,14,WATER,31-01-15,6-1854C
80.2,23,WATER,28-02-15,6-1854C
92.6,30,WATER,30-11-14,6-1854C
89.51,29,WATER,31-12-14,6-1854C
105.4,30,WATER,31-05-15,6-1854C
204.52,43,WATER,30-06-15,6-1854C
