amount,bill_usage,service,tran_date,account
37.52,700,WATER,31-07-16,3-1094N
31,500,WATER,31-08-16,3-1094N
31,500,WATER,30-09-16,3-1094N
25.96,400,WATER,31-10-16,3-1094N
25.96,400,WATER,30-11-16,3-1094N
29.95,500,WATER,31-12-16,3-1094N
29.95,500,WATER,31-01-17,3-1094N
25.96,400,WATER,28-02-17,3-1094N
2.52,700,PWS,31-07-16,3-1094N
1.95,500,PWS,31-08-16,3-1094N
1.2,500,PWS,30-09-16,3-1094N
0,0,PWS,31-10-16,3-1094N
0,0,PWS,30-11-16,3-1094N
0,0,PWS,31-12-16,3-1094N
0,0,PWS,31-01-17,3-1094N
0,0,PWS,28-02-17,3-1094N
0,0,PWS,31-03-17,3-1094N
29.95,500,WATER,31-03-17,3-1094N
34.28,600,WATER,30-04-17,3-1094N
29.95,500,WATER,31-05-17,3-1094N
34.28,600,WATER,30-06-17,3-1094N
0,0,PWS,30-06-17,3-1094N
0,0,PWS,30-04-17,3-1094N
0,0,PWS,31-05-17,3-1094N
14.7,0,WATER,30-09-16,4-9738L
14.7,0,WATER,31-08-16,4-9738L
10,0,WATER,31-01-17,4-9738L
13.99,100,WATER,31-10-16,4-9738L
10,0,WATER,30-11-16,4-9738L
10,0,WATER,31-12-16,4-9738L
10,0,WATER,31-05-17,4-9738L
10,0,WATER,28-02-17,4-9738L
10,0,WATER,31-03-17,4-9738L
10,0,WATER,30-04-17,4-9738L
5.62,0,DWELLING C,30-09-16,4-9738L
5,0,DWELLING C,31-10-16,4-9738L
5,0,DWELLING C,30-11-16,4-9738L
5,0,DWELLING C,31-12-16,4-9738L
5,0,DWELLING C,31-01-17,4-9738L
5,0,DWELLING C,28-02-17,4-9738L
5,0,DWELLING C,31-03-17,4-9738L
5,0,DWELLING C,30-04-17,4-9738L
5,0,DWELLING C,31-05-17,4-9738L
5,0,DWELLING C,30-06-17,4-9738L
10,0,WATER,30-06-17,4-9738L
5.62,0,DWELLING C,31-07-16,4-9738L
5.62,0,DWELLING C,31-08-16,4-9738L
0,0,PWS,31-10-16,4-9738L
0,0,PWS,30-11-16,4-9738L
0,0,PWS,31-12-16,4-9738L
0,0,PWS,31-01-17,4-9738L
0,0,PWS,28-02-17,4-9738L
0,0,PWS,31-03-17,4-9738L
0,0,PWS,30-04-17,4-9738L
0,0,PWS,31-05-17,4-9738L
0,0,PWS,30-06-17,4-9738L
14.7,0,WATER,31-07-16,4-9738L
0,0,PWS,31-07-16,4-9738L
0,0,PWS,31-08-16,4-9738L
0,0,PWS,30-09-16,4-9738L
149.85,3200,WATER,31-07-16,6-1854C
56.11,1100,WATER,31-12-16,6-1854C
47.39,900,WATER,31-01-17,6-1854C
43.03,800,WATER,28-02-17,6-1854C
29.95,500,WATER,31-03-17,6-1854C
34.28,600,WATER,30-04-17,6-1854C
67.13,1300,WATER,31-05-17,6-1854C
135.83,2300,WATER,30-06-17,6-1854C
5.62,0,DWELLING C,31-07-16,6-1854C
5.62,0,DWELLING C,31-08-16,6-1854C
5.62,0,DWELLING C,30-09-16,6-1854C
5,0,DWELLING C,31-10-16,6-1854C
5,0,DWELLING C,30-11-16,6-1854C
5,0,DWELLING C,31-12-16,6-1854C
5,0,DWELLING C,31-01-17,6-1854C
5,0,DWELLING C,28-02-17,6-1854C
5,0,DWELLING C,31-03-17,6-1854C
5,0,DWELLING C,30-04-17,6-1854C
5,0,DWELLING C,31-05-17,6-1854C
5,0,DWELLING C,30-06-17,6-1854C
11.52,3200,PWS,31-07-16,6-1854C
8.19,2100,PWS,31-08-16,6-1854C
1.68,700,PWS,30-09-16,6-1854C
14.56,4400,PWS,31-10-16,6-1854C
0,0,PWS,30-11-16,6-1854C
0,0,PWS,31-12-16,6-1854C
2.52,900,PWS,31-01-17,6-1854C
0,0,PWS,28-02-17,6-1854C
0,0,PWS,31-03-17,6-1854C
0,0,PWS,30-04-17,6-1854C
0,0,PWS,31-05-17,6-1854C
0,0,PWS,30-06-17,6-1854C
117.03,2000,WATER,30-11-16,6-1854C
95.18,2100,WATER,31-08-16,6-1854C
37.52,700,WATER,30-09-16,6-1854C
301.83,4400,WATER,31-10-16,6-1854C
24.48,300,WATER,31-07-16,14-6711Y
24.48,300,WATER,31-08-16,14-6711Y
27.74,400,WATER,30-09-16,14-6711Y
21.97,300,WATER,31-10-16,14-6711Y
21.97,300,WATER,30-11-16,14-6711Y
21.97,300,WATER,30-04-17,14-6711Y
29.95,500,WATER,31-05-17,14-6711Y
21.97,300,WATER,30-06-17,14-6711Y
1.08,300,PWS,31-07-16,14-6711Y
1.17,300,PWS,31-08-16,14-6711Y
0.96,400,PWS,30-09-16,14-6711Y
0,0,PWS,31-10-16,14-6711Y
0,0,PWS,30-11-16,14-6711Y
0,0,PWS,31-12-16,14-6711Y
0,0,PWS,31-01-17,14-6711Y
0,0,PWS,28-02-17,14-6711Y
0,0,PWS,31-03-17,14-6711Y
0,0,PWS,30-04-17,14-6711Y
0,0,PWS,31-05-17,14-6711Y
0,0,PWS,30-06-17,14-6711Y
17.98,200,WATER,31-03-17,14-6711Y
21.97,300,WATER,31-12-16,14-6711Y
25.96,400,WATER,31-01-17,14-6711Y
21.97,300,WATER,28-02-17,14-6711Y
63.3,1400,WATER,31-07-16,13-9642C
40.78,800,WATER,31-08-16,13-9642C
59.3,1300,WATER,30-09-16,13-9642C
34.31,600,WATER,31-10-16,13-9642C
17.98,200,WATER,30-11-16,13-9642C
13.99,100,WATER,31-12-16,13-9642C
10,0,WATER,31-01-17,13-9642C
10,0,WATER,28-02-17,13-9642C
10,0,WATER,31-03-17,13-9642C
3.12,800,PWS,31-08-16,13-9642C
3.12,1300,PWS,30-09-16,13-9642C
0,0,PWS,31-10-16,13-9642C
0,0,PWS,30-11-16,13-9642C
0,0,PWS,31-12-16,13-9642C
0,0,PWS,31-01-17,13-9642C
0,0,PWS,28-02-17,13-9642C
0,0,PWS,31-03-17,13-9642C
0,0,PWS,30-04-17,13-9642C
10,0,WATER,30-04-17,13-9642C
29.95,500,WATER,31-05-17,13-9642C
80.87,1500,WATER,30-06-17,13-9642C
5.04,1400,PWS,31-07-16,13-9642C
0,0,PWS,31-05-17,13-9642C
0,0,PWS,30-06-17,13-9642C
51.3,1100,WATER,30-09-16,11-8362J
56.11,1100,WATER,31-10-16,11-8362J
21.97,300,WATER,31-01-17,11-8362J
25.96,400,WATER,28-02-17,11-8362J
38.67,700,WATER,30-11-16,11-8362J
29.95,500,WATER,31-12-16,11-8362J
38.61,700,WATER,31-05-17,11-8362J
51.6,1000,WATER,30-06-17,11-8362J
25.96,400,WATER,31-03-17,11-8362J
25.96,400,WATER,30-04-17,11-8362J
2.64,1100,PWS,30-09-16,11-8362J
0,0,PWS,31-10-16,11-8362J
0,0,PWS,30-11-16,11-8362J
0,0,PWS,31-12-16,11-8362J
0,0,PWS,31-01-17,11-8362J
0,0,PWS,28-02-17,11-8362J
0,0,PWS,31-03-17,11-8362J
0,0,PWS,30-04-17,11-8362J
0,0,PWS,31-05-17,11-8362J
0,0,PWS,30-06-17,11-8362J
47.3,1000,WATER,31-08-16,11-8362J
5.04,1400,PWS,31-07-16,11-8362J
3.9,1000,PWS,31-08-16,11-8362J
63.3,1400,WATER,31-07-16,11-8362J
71.3,1600,WATER,31-07-16,7-7712Q
38.67,700,WATER,31-12-16,7-7712Q
29.95,500,WATER,31-01-17,7-7712Q
29.95,500,WATER,28-02-17,7-7712Q
29.95,500,WATER,31-03-17,7-7712Q
34.28,600,WATER,30-04-17,7-7712Q
47.27,900,WATER,31-05-17,7-7712Q
47.27,900,WATER,30-06-17,7-7712Q
5.76,1600,PWS,31-07-16,7-7712Q
4.68,1200,PWS,31-08-16,7-7712Q
55.3,1200,WATER,31-08-16,7-7712Q
59.3,1300,WATER,30-09-16,7-7712Q
81.68,1500,WATER,31-10-16,7-7712Q
43.03,800,WATER,30-11-16,7-7712Q
0,0,PWS,31-01-17,7-7712Q
0,0,PWS,28-02-17,7-7712Q
0,0,PWS,31-03-17,7-7712Q
0,0,PWS,30-04-17,7-7712Q
0,0,PWS,31-05-17,7-7712Q
0,0,PWS,30-06-17,7-7712Q
3.12,1300,PWS,30-09-16,7-7712Q
0,0,PWS,31-10-16,7-7712Q
0,0,PWS,30-11-16,7-7712Q
0,0,PWS,31-12-16,7-7712Q
85.24,1900,WATER,31-07-16,15-6146W
110.09,2400,WATER,31-08-16,15-6146W
63.3,1400,WATER,30-09-16,15-6146W
88.75,1600,WATER,31-10-16,15-6146W
43.03,800,WATER,31-03-17,15-6146W
38.61,700,WATER,30-04-17,15-6146W
101.48,1800,WATER,31-05-17,15-6146W
94.61,1700,WATER,30-06-17,15-6146W
6.84,1900,PWS,31-07-16,15-6146W
9.36,2400,PWS,31-08-16,15-6146W
3.36,1400,PWS,30-09-16,15-6146W
0,0,PWS,31-10-16,15-6146W
0,0,PWS,30-11-16,15-6146W
25.96,400,WATER,30-11-16,15-6146W
38.67,700,WATER,31-12-16,15-6146W
43.03,800,WATER,31-01-17,15-6146W
21.97,300,WATER,28-02-17,15-6146W
0,0,PWS,30-04-17,15-6146W
0,0,PWS,31-05-17,15-6146W
0,0,PWS,30-06-17,15-6146W
0,0,PWS,28-02-17,15-6146W
0,0,PWS,31-03-17,15-6146W
0,0,PWS,31-12-16,15-6146W
1.89,800,PWS,31-01-17,15-6146W
80.27,1800,WATER,31-07-16,15-7782L
55.3,1200,WATER,31-08-16,15-7782L
63.3,1400,WATER,30-09-16,15-7782L
38.67,700,WATER,31-10-16,15-7782L
56.11,1100,WATER,30-11-16,15-7782L
60.47,1200,WATER,31-12-16,15-7782L
74,1400,WATER,31-05-17,15-7782L
115.22,2000,WATER,30-06-17,15-7782L
6.48,1800,PWS,31-07-16,15-7782L
4.68,1200,PWS,31-08-16,15-7782L
3.36,1400,PWS,30-09-16,15-7782L
0,0,PWS,31-10-16,15-7782L
0,0,PWS,30-11-16,15-7782L
0,0,PWS,31-12-16,15-7782L
